id;basic_salary;allowance;ot;bonus;description;tax;pf;extra
1;Future;Buckinghamshire Generic Concrete Fish Washington;value-added United Kingdom wireless;Sleek Soft Hat Operative Kuwaiti Dinar;Directives;Incredible Frozen Bacon Personal Loan Account deposit;mint green alliance Group;Public-key Russian Ruble Bedfordshire
2;Designer;Rustic overriding invoice;SCSI;lavender plug-and-play;Dynamic;SAS transmitting teal;Forint;Fresh
3;Dong;web services;Arizona access;Alaska Investment Account;National;Buckinghamshire;clear-thinking Checking Account Rustic;Group
4;Integration USB Gorgeous;primary CSS;Dominica TCP;out-of-the-box mesh;West Virginia IB Frozen;motivating;withdrawal Bedfordshire Fantastic;withdrawal Licensed
5;analyzer Accountability syndicate;payment;capacitor Virtual internet solution;Unbranded;challenge;Configurable;lavender;Incredible
6;transmitter;National back up;aggregate;Exclusive Licensed Applications;synergies South Dakota;HTTP;card 4th generation bluetooth;Illinois
7;TCP Customer transmitter;invoice Handmade Gorgeous;Bedfordshire invoice Computers;parsing;Auto Loan Account Savings Account;Upgradable;bypassing;Granite Clothing
8;Savings Account AI;Ergonomic Lead Michigan;Handcrafted Concrete Bacon Personal Loan Account;Future;Producer;Incredible Plastic Tuna Rand Loti;Usability Cotton morph;Multi-lateral Refined policy
9;maximized Books;Garden Savings Account GB;Proactive Licensed THX;Concrete;Maryland Upgradable Incredible;transmitting override;Enhanced expedite;content
10;olive forecast port;Yemen;Guernsey;open-source;communities Cambridgeshire;Illinois Alabama hacking;Credit Card Account toolset;haptic
