id;sr_item;sr_quantity;sr_rate;sr_amount;narration;des_item;des_quantity;des_rate;des_amount;extra_field
1;California bandwidth;62564;98566;98672;virtual;Gibraltar Pound Ranch solutions;28256;2439;58192;Research
2;compress open-source Electronics;60136;14345;26248;indigo Principal;Metal;96559;9839;68202;user-facing Games Brand
3;programming violet withdrawal;88838;80071;99163;generating circuit alarm;Fresh Solutions;10139;22312;63026;Frozen compressing
4;leading edge blue connect;46290;94509;10538;Credit Card Account;Manat Toys Director;8446;78264;78011;Nevada
5;Applications Multi-tiered 1080p;81749;32579;51326;calculating;International program flexibility;8347;44721;17009;Solutions Shoes leading edge
6;open-source parallelism Garden;48768;77213;87179;Seamless Sleek markets;Toys hacking architect;41058;81866;92379;Cheese
7;withdrawal Rapid wireless;34657;58007;60927;auxiliary Reactive;deposit;61627;93040;83813;strategic SDR Auto Loan Account
8;multi-byte online;27165;42980;84286;turn-key Spain Avon;National Hat;49764;20142;76648;Nevada
9;methodologies Coordinator;26523;737;13607;black Brooks;International deposit Ergonomic Plastic Car;43796;13633;26888;infrastructures Cambridgeshire Grocery
10;microchip TCP copying;63379;68785;86858;Course;access Concrete;20263;20132;79652;indigo Gorgeous TCP
