id;sr_item;sr_quantity;sr_rate;sr_amount;des_item;des_quantity;des_rate;des_amount;extra_field
1;firewall feed Graphical User Interface;62099;52606;5911;generate ivory Manager;5304;26139;15683;Orchestrator Oregon Seamless
2;Delaware transmit index;79462;90329;36182;whiteboard;91756;98911;62538;XSS TCP Bedfordshire
3;THX;71513;81273;61103;invoice;60015;30990;12851;deliverables
4;Implemented;74235;22205;2166;process improvement;17504;10177;63281;Tunisian Dinar
5;Money Market Account;99080;8682;64806;Guinea;82639;18430;8633;AI
6;supply-chains infrastructure;88552;32803;44005;USB value-added;83385;71316;56397;Outdoors ability optical
7;Sports Fantastic Plastic Ball;64282;17550;61731;exploit utilize;5766;9090;67560;Music
8;Frozen experiences West Virginia;89295;96009;68811;Configuration;57900;5480;74748;Clothing
9;hacking Electronics;8434;45148;4751;schemas;23721;70083;14327;California Plastic
10;Intelligent Frozen Cheese Cotton Bahrain;89669;22751;40822;Communications Metrics Vision-oriented;35023;70356;12169;matrix
