id;name;description;jhi_option;company_id
1;Tunisian Dinar Baby;virtual South Dakota fault-tolerant;false;1
2;Extensions Synergistic;card Pines;true;1
3;Cotton maximize Plains;Decentralized;false;1
4;pricing structure calculating recontextualize;Technician;true;2
5;client-driven;Robust payment Boliviano Mvdol;false;2
6;Centers;deposit;true;2
7;invoice;Small Wooden Car;true;2
8;Lilangeni Cotton;protocol Steel Music;true;3
9;Wyoming back-end best-of-breed;Steel;false;3
10;blue Re-contextualized;invoice;false;3
