id;name;jhi_group;extra_field_1;extra_field_2;extra_field_3;extra_field_4;extra_field_5;extra_field_6
1;Hat District Concrete;Internal invoice;true;false;true;false;multi-byte;heuristic Guinea Franc
2;object-oriented Interactions;Intranet strategic;false;true;true;false;Rubber neural payment;e-markets web-enabled Technician
3;Mississippi Refined Gorgeous;GB Gambia;false;false;false;true;Savings Account Plastic;Auto Loan Account deposit Gorgeous
4;Legacy;Savings Account Coordinator Dominican Peso;false;false;false;false;Lakes SQL;SSL Personal Loan Account
5;Tactics;South Carolina;false;true;false;true;Squares hierarchy;functionalities Checking Account
6;invoice e-enable;seize;false;true;true;false;Ergonomic Steel Bike;Incredible
7;transmit program;Pennsylvania India Plastic;true;true;true;true;Handcrafted web-enabled;Investor
8;Bike homogeneous executive;Saint Helena Pound matrix pixel;true;true;false;true;Global;reintermediate parallelism Gloves
9;Skyway Function-based generating;Buckinghamshire;false;true;false;false;Turkey Finland Center;Silver policy
10;Missouri Sweden Senior;Mouse;true;true;true;true;Tanzania Representative Implemented;Ergonomic Steel Ball virtual
