id;item;quantity;rate;amount;extra
1;proactive;67057;84951;18426;Points contingency Direct
2;Baby Cambridgeshire Grove;14934;8489;5976;generate Horizontal Intelligent
3;New York card;66945;74220;39502;Kenyan Shilling transmit
4;Steel Sports;87611;74383;69949;indexing Solutions Suriname
5;optical AGP Guinea-Bissau;16214;3446;90915;Architect panel
6;Architect index;81379;43425;66336;IB function Strategist
7;International Massachusetts;95668;86681;25155;Implemented
8;orchid Tasty;52354;32047;54692;Money Market Account tan calculate
9;Tuna Checking Account parse;58440;98680;78962;JSON Savings Account plum
10;Islands Incredible Concrete Tuna;32014;37622;18543;Lead Outdoors
