id;item;quantity_total;rate_total;amount_total;reference_number;extra_field
1;strategize Officer Dam;internet solution;24019;13979;Tasty;Credit Card Account cutting-edge Optimization
2;Stream Berkshire;Chief;32829;96129;Euro;Rustic Pakistan
3;New Mexico;Outdoors;39957;67116;copy solution;Strategist
4;Avon;invoice Metal;9672;56333;e-commerce;Intelligent target
5;Right-sized;Oregon;20298;28994;orchestrate Tactics;Highway bandwidth
6;connecting copy East Caribbean Dollar;Integration Games Expressway;55092;65510;copy generate Global;Multi-tiered Movies transmit
7;Virginia Sleek Wooden Fish;Argentine Peso;30353;30455;transmit hub;connect
8;Metrics Fall;Tasty Wooden Pizza;16810;63451;Yuan Renminbi;Fields
9;Place Cotton;Courts;63382;47017;pixel interface TCP;Automotive Chicken payment
10;Intelligent Concrete Gloves Palladium withdrawal;black;16872;78376;cross-platform;input Books program
